Image valence,IAPS database,NAPS database
Negative,IAPS 2683,NAPS faces 16
,IAPS 2691,NAPS faces 28
,IAPS 2799,NAPS faces 283
,IAPS 3216,NAPS faces 7
,IAPS 6212,NAPS people 127
,IAPS 6313,NAPS people 201
,IAPS 6520,NAPS people 214
,IAPS 6571,NAPS people 22
,IAPS 6831,NAPS people 226
,IAPS 6840,NAPS people 3
,IAPS 9050,NAPS people 33
,IAPS 9163,NAPS people 39
,IAPS 9250,
,IAPS 9400,
,IAPS 9419,
,IAPS 9427,
,IAPS 9428,
,IAPS 9429,
,IAPS 9433,
,IAPS 9435,
,IAPS 9900,
,IAPS 9921,
,IAPS 9926,
,,
Positive,IAPS 2091,NAPS faces 107
,IAPS 2216,NAPS faces 109
,IAPS 2299,NAPS faces 232
,IAPS 2332,NAPS faces 234
,IAPS 2340,NAPS faces 3
,IAPS 4623,NAPS faces 321
,IAPS 7515,NAPS faces 354
,IAPS 7660,NAPS faces 61
,IAPS 8185,NAPS faces 82
,IAPS 8461,NAPS faces 88
,IAPS 8496,NAPS faces 89
,IAPS 8540,NAPS people 168
,,NAPS people 174
,,NAPS people 181
,,NAPS people 182
,,NAPS people 185
,,NAPS people 186
,,NAPS people 187
,,NAPS people 192
,,NAPS people 228
,,NAPS people 43
,,NAPS people 50
,,NAPS people 54
