Brain region,k,Max,Mean,Std
Frontal pole,1827,5.05,2.35,0.52
Occipital pole,1714,5.15,2.45,0.56
Supramarginal gyrus anterior,1573,7.48,2.84,0.91
Lateral occipital cortex superior,1060,4.52,2.18,0.39
Lateral occipital cortex inferior,923,4.73,2.36,0.49
Angular gyrus,856,4.52,2.24,0.4
Supramarginal gyrus posterior,806,4.49,2.29,0.45
Middle temporal gyrus temporo-occipital,798,4,2.33,0.48
Temporal pole,711,4.38,2.37,0.54
Precentral gyrus,568,3.54,2.14,0.31
Superior temporal gyrus posterior,549,3.64,2.27,0.41
Superior frontal gyrus,510,3.83,2.18,0.38
Postcentral gyrus,489,4.61,2.43,0.6
Inferior frontal gyrus parstriangularis,488,4.22,2.35,0.5
Inferior frontal gyrus parsopercularis,441,3.54,2.14,0.31
Middle temporal gyrus posterior,417,5.68,2.34,0.52
Occipital fusiform,400,4.28,2.14,0.37
Middle temporal gyrus anterior,398,5.68,2.58,0.76
Middle frontal gyrus,300,3.01,2.06,0.25
Precuneus,282,3.34,2.14,0.31
